,"('000333.SZ', '000858.SZ')","('000333.SZ', '000651.SZ')","('000858.SZ', '600887.SH')","('000858.SZ', '000651.SZ')","('000858.SZ', '600519.SH')","('601318.SH', '000002.SZ')","('600519.SH', '600887.SH')","('000333.SZ', '600519.SH')","('000333.SZ', '601318.SH')","('600276.SH', '600887.SH')","('601318.SH', '000651.SZ')","('600519.SH', '000651.SZ')","('000651.SZ', '600887.SH')","('600276.SH', '600519.SH')","('000651.SZ', '000002.SZ')","('000333.SZ', '000002.SZ')","('601318.SH', '000858.SZ')","('000333.SZ', '600887.SH')","('600276.SH', '000858.SZ')","('601318.SH', '600519.SH')",mean
2018-07-02 00:00:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-03 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2018-07-04 00:00:00,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.038353880811607,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05191769404058035
2018-07-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0737930923207846,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05368965461603923
2018-07-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08561717688442554,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042808588442212765
2018-07-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10516177864887787,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005258088932443893
2018-07-10 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0347888066793589,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.001739440333967945
2018-07-11 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07315973912744762,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0036579869563723813
2018-07-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05054676880762408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002527338440381204
2018-07-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003360583169816476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001680291584908238
2018-07-16 00:00:00,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.03464822437269957,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0017324112186349785
2018-07-17 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.034001689177252416,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0017000844588626208
2018-07-18 00:00:00,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.029780360906080133,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0014890180453040066
2018-07-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038438063278558865,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019219031639279432
2018-07-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05145744254279589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025728721271397947
2018-07-23 00:00:00,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.005364388037663118,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.00026821940188315586
2018-07-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09935641566964883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004967820783482442
2018-07-25 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.023357309201200806,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0011678654600600403
2018-07-26 00:00:00,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.01909488298310139,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0009547441491550695
2018-07-27 00:00:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027831951119522073,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0013915975559761038
2018-07-30 00:00:00,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.025927617694660874,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0012963808847330437
2018-07-31 00:00:00,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.007797246256248622,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0003898623128124311
